"";"FieldApplication";"count";"Percent";"csum";"pos";"legend_labs";"percent2";"FieldApplication_sort"
"1";"Agriculture / land degradation";23;20,1754385964912;163;151,5;"Agriculture / land degradation (20.18%)";"20%";"Agriculture / land degradation"
"2";"Atmosphere / weather";10;8,7719298245614;140;135;"Atmosphere / weather (8.77%)";"9%";"Atmosphere / weather"
"3";"Climate / carbon";18;15,7894736842105;130;121;"Climate / carbon (15.79%)";"16%";"Climate / carbon"
"4";"Coastal marine areas";6;5,26315789473684;112;109;"Coastal marine areas (5.26%)";"5%";"Coastal marine areas"
"5";"Energy / mineral resources";9;7,89473684210526;106;101,5;"Energy / mineral resources (7.89%)";"8%";"Energy / mineral resources"
"6";"Forestry";17;14,9122807017544;97;88,5;"Forestry (14.91%)";"15%";"Forestry"
"7";"Infrastructure / transportation";12;10,5263157894737;80;74;"Infrastructure / transportation (10.53%)";"11%";"Infrastructure / transportation"
"8";"Nature conservation / biodiversity";23;20,1754385964912;68;56,5;"Nature conservation / biodiversity (20.18%)";"20%";"Nature conservation / biodiversity"
"9";"Other";7;6,14035087719298;45;41,5;"Other (6.14%)";"6%";"Other"
"10";"Risk / hazards";20;17,5438596491228;38;28;"Risk / hazards (17.54%)";"18%";"Risk / hazards"
"11";"Water resources";18;15,7894736842105;18;9;"Water resources (15.79%)";"16%";"Water resources"
