"";"Group";"GeoScale";"count";"percent";"percent2"
"1";"Producer / provider";"Continent";7;0,21875;"22%"
"2";"Producer / provider";"Country";13;0,40625;"41%"
"3";"Producer / provider";"Federal state / region";10;0,3125;"31%"
"4";"Producer / provider";"Global";18;0,5625;"56%"
"5";"Producer / provider";"Local";8;0,25;"25%"
"6";"Producer / provider";"Other";1;0,03125;"3%"
"7";"User";"Continent";11;0,134146341463415;"13%"
"8";"User";"Country";37;0,451219512195122;"45%"
"9";"User";"Federal state / region";39;0,475609756097561;"48%"
"10";"User";"Global";26;0,317073170731707;"32%"
"11";"User";"Local";34;0,414634146341463;"41%"
